,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT2418,352.113806575172,1.0942199681598266,7416.7526301767175,8588.459446280593,5555.447211995482
FT2422,353.025777537682,8.8975819905599,239.0979231746631,388.25236911522074,679.594212342759
FT2423,353.160760486738,0.951216666667,98794.62262318036,101923.76529320111,88175.86249825283
FT2424,353.155833675172,5.689313252766934,3452.7784917177614,3584.588091879198,3501.9941117923345
FT2425,353.212400752725,0.7932913088480633,16713.86793190541,12343.805381341297,11897.07038250492
FT2426,353.145345345391,4.683349863688317,1487.1765988833872,1070.4970372799353,1177.3661536875743
FT2427,353.125760375678,4.37567240397135,3481.23615663316,1652.2516123130417,1257.8736453681126
FT2428,353.303117150726,0.851466666667,15965.376337202131,13254.889936703617,11764.665078083854
FT2429,354.030903027903,5.315075126139484,3010.0892041646653,2339.965460690671,1911.1740115810983
FT2430,354.106979678693,4.824650573730467,5527.633448613313,3155.809668836166,4395.061533756977
FT2431,354.165073260303,0.9512176513671867,21652.651285928536,21372.84271185239,21756.37864689744
FT2432,354.345110487975,0.8016,6045.6911579271755,6113.942114854096,5722.263860678844
FT2434,354.895125828729,13.103516666667,3714.1652387603467,4962.272732478881,4931.3170137892885
FT2436,354.89541189632,8.299114481608067,0.0,6978.766934317813,52135.67714409174
FT2437,355.169634133059,0.967842263539465,8447.708585093003,7757.931804402232,8185.521099917685
FT2438,355.192102549004,1.0477435111999516,0.0,0.0,0.0
FT2439,355.283975577725,0.8265332664491416,26527.913363407784,20899.504334690355,21463.8928209627
FT2440,355.311599915719,0.9188608169555667,0.0,0.0,0.0
FT2442,355.93383586164,8.581732755533684,0.0,4523.651583665003,5321.561118475004
FT2443,355.897720678183,0.6686,1348.42294187997,1521.0713925353168,1160.5502075199404
FT2444,356.097877614171,4.791416798909666,4112.870684880605,2953.2802439651277,2247.957956560329
FT2445,356.099353239577,4.126154073079433,1584.5967885384957,1909.79242432242,1411.1200190413292
FT2447,356.149131000615,6.354083251953133,2084.796824049624,1377.9025735115745,1353.8369224731948
FT2449,356.901925375559,13.103516666667,16093.566483314242,10879.817265532112,10477.593202355652
FT2450,357.031150080354,5.157150268554684,15051.356772475632,14684.667911870049,14806.28908543464
FT2451,357.007226587974,9.379700000000001,1770.3925160630065,2445.558037432878,3674.0570970339204
FT2452,357.062474740901,1.516433333333,4132.313107406652,2926.7505900693172,3362.9181531106465
FT2454,357.300705902119,0.951217263539465,209723.2321152434,174783.97690569377,180892.47260486052
FT2456,358.032841886511,5.157160441080733,2750.859423992204,2122.624323704646,2342.607505829084
FT2458,358.01669889665,0.6353636423746749,4109.992211416702,2732.882415509887,2011.2435285347603
FT2459,358.304067642438,0.9346008936564133,53225.28529629733,41198.23502711753,47580.22311344938
FT2460,359.048311800364,5.140517171223967,2858.5463814223363,1678.5138086136787,1832.917547830777
FT2461,359.084353820055,0.917966666667,6304.287682217571,5534.8009699960785,5405.696336678918
FT2462,358.99509318979,0.69034652709961,704.5292394940082,210.63250949309182,365.8085258173714
FT2467,359.306310029728,0.9678333333329999,8630.066196491049,10899.346628818985,7226.850258681381
FT2468,359.893405599078,13.095216499837232,3829.766419303471,2358.511866866754,2342.880649615845
FT2469,359.903143139157,5.040766906738283,2441.563964588011,775.0681494817306,238.61968720339343
FT2471,360.038423284611,0.66859753926595,6301.002981828794,1872.563674257871,3045.083630472681
FT2472,360.047833201491,5.007516666667,2968.10300617553,2423.1375017353616,1747.08620704144
FT2475,360.179843305893,4.05995,777.9204237269665,413.04423908579065,541.3462573116375
FT2478,360.998334920554,3.2528220438639335,16885.972440369384,12828.872590620282,10838.409335816894
FT2479,361.159483979793,4.026406860351567,5638.073308200478,5004.438515189082,6569.51669598548
FT2480,361.167249879882,0.8697015444437667,33084.22573448081,27329.344503628527,30981.513287561476
FT2482,361.139274713469,5.331754811604816,2435.1507583525254,2102.947080705284,2004.9212745779546
FT2485,361.234760328762,0.851466687520345,5335.306575805995,4341.071252121668,7503.365253867716
FT2486,362.062760859464,5.024150000000001,3548.016294781673,3453.8791195584427,2762.8898516313666
FT2487,361.999581763671,3.24535,5239.117943062219,3149.2458316735674,2449.8234356247026
FT2488,362.119884835704,4.808033333333,2330.5400218227883,2978.5235163153857,2479.31790470249
FT2489,362.23405406793,1.001083333333,2513.6350530990835,1967.2850491457195,2408.512457603944
FT2490,362.890899131177,13.086900000000002,297156.7675738913,257804.93922990846,259344.1162148513
FT2491,363.02840310162,1.4723722910561485,16228.526856258177,11513.29088409536,10447.100834062541
FT2492,363.010768723352,3.343512725830083,2704.993769821569,1708.2068097150136,2048.1692725368084
FT2493,363.179271199109,0.801599719492595,9891.21571925473,9828.448832116566,7290.556884590234
FT2494,363.120974949823,4.982592004394366,2542.823939150236,2275.443926090874,2218.619281869686
FT2497,363.151166097047,5.37325,461.45905938617364,1503.3537427014983,871.4562721126032
FT2498,363.253297713704,0.851466687520345,27689.591906906353,25484.61962372251,25032.416171277706
FT2499,363.894486961991,13.103516666667,15566.178081506972,13234.868035125983,13624.449084551346
FT2500,364.096690268328,2.547133333333,5531.073869096943,5364.617768411336,5049.231226494433
FT2501,364.059436281422,5.331754685465333,2596.4189419778113,2123.6539014420614,1864.666139696006
FT2503,364.905560850745,13.086900000000002,100257.13201770798,95870.60184706979,105717.32470971704
FT2505,365.056812453904,6.270966593424483,2254.2828133942758,1394.1701595890408,1664.5376743705222
FT2507,365.244442151326,5.040766906738283,1620.628231020765,1611.1472486784282,980.1559434838973
FT2508,365.268595917917,0.851466687520345,59544.16023385615,51967.70731033698,50804.64278174808
FT2509,365.909494197446,13.086900000000002,5144.8720241607925,5626.430827560756,6527.509030081745
FT2510,366.125449747384,4.1260286966959665,1534.9362026105282,2183.190508591094,1558.4610762718107
FT2514,366.273075815617,0.8348499331156417,15926.327764575457,14306.335656283598,15177.372682306974
FT2515,366.259784520908,0.9437937761940883,3293.1636294073505,2177.6050104849674,1689.1276338592083
FT2517,366.910777297763,13.086900000000002,2176.217009811637,2457.392265159714,1720.9693027693502
FT2518,366.901106133758,0.7849746421815633,8388.989099993923,6083.854049486328,6816.42751055555
FT2521,367.037800444384,1.6577509277342084,0.0,0.0,0.0
FT2523,367.15841068001,0.8182247922263216,1074587.3543738166,952006.7535211243,893939.2190435404
FT2524,367.106088573022,5.755707550048833,1472409.2553089713,1224910.2179978108,1119809.7304205853
FT2525,367.128881842905,1.8655504974365167,2580.9914370165006,2276.2053504290297,2292.1226756130504
FT2527,367.158625079381,0.919754219055175,1073799.725353321,951710.1302533792,892010.3817037645
FT2529,367.244077064653,0.9678511937459316,15161.038901031081,13647.750091582457,16033.859920443934
FT2530,367.882528820005,13.086900000000002,64290.05831848134,52574.86113049507,57563.81606631922
FT2534,368.161638524909,0.8182247922263216,232073.58109714446,212486.4361875822,194994.66555857903
FT2535,368.161734436313,0.919754219055175,231916.88373618483,212411.82788640936,194574.810524526
FT2537,368.383247671634,13.103516666667,4504.784689827286,4019.5901302478674,3999.5467384862914
FT2538,368.361014450479,0.801599719492595,6224.362172750898,6915.499488458411,6649.529068703283
FT2539,368.898215439541,0.7932913088480633,9833.864924273537,9142.65324464285,7373.742948250187
FT2541,368.884156921342,13.103533935546867,2907.105588376803,2054.6620632491627,1994.1756766432754
FT2544,369.173609503602,0.8265414588928216,735961.4556981671,637634.7900056847,631063.8102701087
FT2547,369.155670249962,1.2504524230957033,21627.95023206495,18858.726591576215,21330.478449203827
FT2550,370.078503471412,5.306767781575517,1519.5533621139737,716.3032456623291,1028.1927385985693
FT2551,370.176881561319,0.8265414588928216,162602.04135429236,138323.05082345993,130542.6156505949
FT2553,370.176888051258,0.919754219055175,153952.45622291122,131738.30721579437,118059.67660915738
FT2558,371.167238054034,5.323383585611983,2661.3723151720874,2076.1046019245045,2218.4441816326334
FT2559,371.182140593132,0.8348499331156417,65544.80101913051,59134.71702685622,54500.10783655773
FT2560,371.065179985206,0.934583333333,4959.35426871563,4185.256609906446,5094.454430717686
FT2561,371.145824543472,4.375534057617184,1611.6504486359381,1178.3310807525293,1633.7896956298039
FT2562,371.186501714961,4.026406860351567,1635.7875328929308,1617.0083170681146,1907.5370860012056
FT2563,371.280051967582,0.9678333333329999,45461.4070317615,38098.034927233086,37731.74418513147
FT2564,371.313100169951,0.818216666667,5956.85622273266,5908.0827003143,3712.6226154817723
FT2567,372.187333595839,0.868083333333,16716.490002199247,11512.012184335184,12896.831005677706
FT2568,372.283008472811,0.9678511937459316,11496.545948186516,10896.058622477685,9770.88471900948
FT2569,372.561552611689,0.6519805908203133,2953.1802513421057,1513.1615271057412,1168.4316552277176
FT2571,373.046237704338,0.9262837801617068,7858.244926633106,6601.2916207670905,9440.72613395594
FT2573,373.114990722752,5.024150594075517,2927.296366320571,2145.922990588647,2147.7842889187787
FT2574,373.311644617917,0.9512176513671867,43793.754585037925,39408.83338061451,43659.544127684516
FT2575,373.867426700689,13.103516666667,5006.280725432974,6432.139666513035,7846.064717089157
FT2576,374.314314435016,0.951216666667,14609.338555828504,12245.049549028643,10667.216723946129
FT2577,374.866103501007,4.990814208984366,3651.9496248950704,2483.975491025197,2743.688021059538
FT2578,375.081463153914,6.387333333333,512.2061360234904,889.5408225346023,673.9958938562877
FT2579,375.12772661453,4.990900675455733,2023.3562239904204,1230.0355475225977,2160.467667191103
FT2580,375.146038119431,1.0477342989603684,14835.54305720981,13681.596008329454,12453.242765732843
FT2581,375.275911523131,0.9678333333329999,392773.1959375666,340966.5858181683,353043.92220186046
FT2584,376.152323781723,1.0842185974121101,5418.600148073887,5252.284544368085,4052.6114826273515
FT2585,376.127152698527,4.192933333333,1585.5698359809257,1816.8227053985954,1605.745708638644
FT2586,376.279506152831,0.9678511937459316,91756.24892267256,80715.95935490119,82394.37483283
FT2587,376.877428474001,13.111841967773435,6592.309675310025,7216.160046272598,8216.332615708707
FT2588,377.03122740035,1.3544722880047233,4160.7479880934225,1458.093156716925,1587.4706291791235
FT2589,377.041987049571,4.791416666667001,579.026121058183,1191.5576972744605,399.06644883756576
FT2590,377.16112315712,0.9761506423948533,53300.99516768844,44623.40204607205,44552.48267714901
FT2591,377.19519464097,0.8265332664491416,15452.940619272395,13095.490084864881,14464.952422193628
FT2594,377.269911901266,0.8348498662312834,17404.415536044355,16863.892642798924,18642.007731590576
FT2596,378.10857598652,5.157150268554684,2962.291189044913,2712.3021776133783,2764.771855462412
FT2597,378.164965311212,1.0011014302571617,11857.961034644017,10676.548112397646,9322.498646531532
